Overall Rank	State	Code	Airport	Flights Per Year	Delays %	Canceled %	Avg. Delay (Mins)	Security Delay (Mins)
1	HI	ITO	Hilo International	5,595	5.8	0.2	3.7	0.00
2	HI	OGG	Kahului Airport	24,834	10.7	0.4	8.5	0.02
3	UT	SLC	Salt Lake City International	105,043	13.4	0.4	10.2	0.02
4	AK	ANC	Ted Stevens Anchorage International	17,600	9.7	0.8	6.3	0.05
5	MT	HLN	Helena Regional	1,236	7.3	0.1	7.0	0.00
6	MT	FCA	Glacier Park International	2,829	9.4	0.6	9.2	0.00
7	ID	PIH	Pocatello Regional	999	7.7	0.0	6.1	0.00
8	HI	KOA	Ellison Onizuka Kona International	14,070	8.5	0.3	6.1	0.09
9	CA	LGB	Long Beach Airport	14,399	12.8	0.5	9.0	0.04
10	ID	LWS	Lewiston Nez Perce County	899	4.7	0.1	6.0	0.00
11	AK	FAI	Fairbanks International	4,377	8.1	0.7	6.0	0.04
12	OR	PDX	Portland International	57,064	12.3	0.7	8.3	0.07
13	ID	IDA	Idaho Falls Regional	1,971	9.6	0.6	9.0	0.00
14	HI	LIH	Lihue Airport	12,741	9.3	0.3	8.0	0.11
15	ID	BOI	Boise Air Terminal	17,334	12.1	0.7	9.6	0.05
16	WY	CPR	Casper/Natrona County International	961	7.7	0.6	8.2	0.00
17	CO	GJT	Grand Junction Regional	3,661	10.6	1.0	10.9	0.00
18	HI	HNL	Daniel K Inouye International	47,342	10.0	0.2	6.9	1.64
19	TT	GUM	Guam International	764	8.6	0.8	4.7	0.00
20	UT	CDC	Cedar City Regional	710	9.9	0.0	9.4	0.00
21	MT	BIL	Billings Logan International	3,710	12.4	0.8	10.8	0.01
22	CA	SNA	John Wayne Airport-Orange County	37,356	15.0	1.2	10.0	0.04
23	NJ	ACY	Atlantic City International	2,821	10.5	1.6	9.3	0.00
24	WA	GEG	Spokane International	10,875	12.3	0.8	10.4	0.05
25	NV	EKO	Elko Regional	618	5.1	0.8	5.8	0.00
26	SC	CAE	Columbia Metropolitan	6,843	14.5	1.3	11.2	0.00
27	MT	GTF	Great Falls International	1,628	8.9	0.8	12.1	0.00
28	MT	BTM	Bert Mooney	619	6.5	0.0	11.4	0.00
29	CA	ONT	Ontario International	20,556	15.2	1.5	10.1	0.02
30	AZ	YUM	Yuma MCAS/Yuma International	1,713	9.9	0.5	9.7	0.04
31	TT	SPN	Francisco C. Ada Saipan International	429	10.1	0.5	8.4	0.00
32	CA	SMF	Sacramento International	46,990	14.1	1.5	8.9	0.10
33	FL	PIE	St Pete Clearwater International	7,062	13.7	0.3	10.0	0.11
34	GA	ATL	Hartsfield-Jackson Atlanta International	362,713	16.8	0.7	11.1	0.06
35	GA	VLD	Valdosta Regional	946	12.1	0.3	12.4	0.00
36	FL	MLB	Melbourne International	2,385	13.1	1.5	10.9	0.00
37	FL	TLH	Tallahassee International	5,979	12.4	1.8	9.9	0.03
38	TX	ELP	El Paso International	15,531	15.8	1.6	11.9	0.01
39	MN	HIB	Range Regional	572	8.1	0.9	9.9	0.00
40	GA	CSG	Columbus Airport	1,194	13.8	0.4	12.6	0.00
41	WA	SEA	Seattle/Tacoma International	130,541	16.7	0.9	10.7	0.07
42	TX	SAT	San Antonio International	37,350	15.4	1.5	11.8	0.04
43	MN	MSP	Minneapolis-St Paul International	148,165	15.0	1.1	11.9	0.13
44	CA	BFL	Meadows Field	2,240	11.1	1.8	11.8	0.00
45	CA	SJC	Norman Y. Mineta San Jose International	57,707	14.2	1.9	8.9	0.09
46	AZ	TUS	Tucson International	17,528	14.1	1.5	11.7	0.07
47	NM	ROW	Roswell International Air Center	1,264	10.5	1.7	11.7	0.00
48	OK	TUL	Tulsa International	15,761	14.8	1.9	12.4	0.02
49	UT	SGU	St George Regional	2,284	11.7	0.8	12.3	0.04
50	OH	CMH	John Glenn Columbus International	43,808	15.5	2.0	11.8	0.03
51	WA	BLI	Bellingham International	1,709	8.4	0.7	5.9	0.22
52	FL	SFB	Orlando Sanford International	9,789	15.8	0.8	10.5	0.07
53	NV	RNO	Reno/Tahoe International	18,360	14.0	1.5	11.3	0.10
54	GA	BQK	Brunswick Golden Isles	948	12.7	1.3	12.1	0.00
55	ID	TWF	Joslin Field – Magic Valley Regional	1,108	15.0	0.1	13.3	0.00
56	IA	DSM	Des Moines International	15,560	15.0	2.1	13.0	0.01
57	CT	BDL	Bradley International	26,326	15.1	1.9	12.0	0.05
58	TN	TRI	Tri Cities	2,696	15.6	0.9	13.2	0.00
59	VI	STX	Henry E. Rohlsen	806	13.5	0.6	8.3	0.06
60	NC	OAJ	Albert J Ellis	2,611	15.5	1.4	12.3	0.01
61	AK	WRG	Wrangell Airport	664	11.5	1.8	9.4	0.00
62	AK	JNU	Juneau International	4,160	11.8	1.5	7.4	0.21
63	AZ	FLG	Flagstaff Pulliam	1,807	11.2	2.4	10.9	0.00
64	FL	PGD	Punta Gorda Airport	4,787	15.5	0.3	11.5	0.11
65	MT	MSO	Missoula International	3,248	16.1	0.5	12.3	0.04
66	MO	MCI	Kansas City International	50,569	15.8	2.1	11.5	0.04
67	PA	PIT	Pittsburgh International	46,242	15.1	1.8	12.3	0.07
68	MS	GTR	Golden Triangle Regional	1,077	14.7	0.3	14.3	0.00
69	MT	BZN	Bozeman Yellowstone International	6,241	16.0	0.7	15.2	0.00
70	MN	INL	Falls International Einarson Field	596	11.5	0.7	13.6	0.00
71	AL	DHN	Dothan Regional	1,258	16.5	0.2	13.1	0.00
72	KY	SDF	Louisville Muhammad Ali International	22,237	16.2	1.8	13.4	0.02
73	MI	DTW	Detroit Metro Wayne County	148,075	16.1	1.1	13.1	0.13
74	NH	MHT	Manchester-Boston Regional	7,485	12.1	2.2	10.1	0.09
75	FL	GNV	Gainesville Regional	4,758	16.7	1.0	13.7	0.01
76	CA	FAT	Fresno Yosemite International	11,325	15.7	1.1	14.7	0.04
